jurisdiction,minimum_wage_2022
Federal,7.25
Alaska,10.34
Alabama,0
Arkansas,11
Arizona,12.8
California,14
Colorado,12.56
Connecticut,14
Delaware,10.5
Florida,10
Georgia,7.25
Hawaii,12
Iowa,7.25
Idaho,7.25
Illinois,12
Indiana,7.25
Kansas,7.25
Kentucky,7.25
Louisiana,0
Massachusetts,14.25
Maryland,12.5
Maine,12.75
Michigan,9.87
Minnesota,10.33
Missouri,11.15
Mississippi,0
Montana,9.2
North Carolina,7.25
North Dakota,7.25
Nebraska,9
New Hampshire,7.25
New Jersey,13
New Mexico,11.5
Nevada,9.5
New York,13.2
Ohio,9.3
Oklahoma,7.25
Oregon,13.5
Pennsylvania,7.25
Rhode Island,12.25
South Carolina,0
South Dakota,9.95
Tennessee,0
Texas,7.25
Utah,7.25
Virginia,11
Vermont,12.55
Washington,14.49
Wisconsin,7.25
West Virginia,8.75
Wyoming,7.25
